<Unicode>,<Unicode Name>,<Glyph Name>,<Adobe Character Sets>,<Unicode block>,<Non-Unicode type>,"<Status> # A=Already in, T=To be added, C=Under consideration, D=To be deleted","<Source> # R=Regular, B=Bold, I=Italic, X=Bold Italic, N=New, S=Special",<Fira Glyph>
U+22A4,DOWN TACK,uni22A4,,Mathematical Operators,,T,,
U+22A5,UP TACK,uni22A5,,Mathematical Operators,,T,,
U+22A6,ASSERTION,uni22A6,,Mathematical Operators,,T,,
U+22A7,MODELS,uni22A7,,Mathematical Operators,,T,,
U+22A8,TRUE,uni22A8,,Mathematical Operators,,T,,
U+22A9,FORCES,uni22A9,,Mathematical Operators,,T,,
U+22AA,TRIPLE VERTICAL BAR RIGHT TURNSTILE,uni22AA,,Mathematical Operators,,T,,
U+22AB,DOUBLE VERTICAL BAR DOUBLE RIGHT TURNSTILE,uni22AB,,Mathematical Operators,,T,,
U+22AC,DOES NOT PROVE,uni22AC,,Mathematical Operators,,T,,
U+22AD,NOT TRUE,uni22AD,,Mathematical Operators,,T,,
U+22AE,DOES NOT FORCE,uni22AE,,Mathematical Operators,,T,,
U+22AF,NEGATED DOUBLE VERTICAL BAR DOUBLE RIGHT TURNSTILE,uni22AF,,Mathematical Operators,,T,,
U+22B0,PRECEDES UNDER RELATION,uni22B0,,Mathematical Operators,,T,,
U+22B1,SUCCEEDS UNDER RELATION,uni22B1,,Mathematical Operators,,T,,
U+22B2,NORMAL SUBGROUP OF,uni22B2,,Mathematical Operators,,T,,
U+22B3,CONTAINS AS NORMAL SUBGROUP,uni22B3,,Mathematical Operators,,T,,
U+22B4,NORMAL SUBGROUP OF OR EQUAL TO,uni22B4,,Mathematical Operators,,T,,
U+22B5,CONTAINS AS NORMAL SUBGROUP OR EQUAL TO,uni22B5,,Mathematical Operators,,T,,
U+22B6,ORIGINAL OF,uni22B6,,Mathematical Operators,,T,,
U+22B7,IMAGE OF,uni22B7,,Mathematical Operators,,T,,
U+22B8,MULTIMAP,uni22B8,,Mathematical Operators,,T,,
U+22B9,HERMITIAN CONJUGATE MATRIX,uni22B9,,Mathematical Operators,,T,,
U+22BA,INTERCALATE,uni22BA,,Mathematical Operators,,T,,
U+22BB,XOR,uni22BB,,Mathematical Operators,,T,,
U+22BC,NAND,uni22BC,,Mathematical Operators,,T,,
U+22BD,NOR,uni22BD,,Mathematical Operators,,T,,
U+22BE,RIGHT ANGLE WITH ARC,uni22BE,,Mathematical Operators,,T,,
U+22BF,RIGHT TRIANGLE,uni22BF,,Mathematical Operators,,T,,
U+22C0,N-ARY LOGICAL AND,uni22C0,,Mathematical Operators,,T,,
U+22C1,N-ARY LOGICAL OR,uni22C1,,Mathematical Operators,,T,,
U+22C2,N-ARY INTERSECTION,uni22C2,,Mathematical Operators,,T,,
U+22C3,N-ARY UNION,uni22C3,,Mathematical Operators,,T,,
U+22C4,DIAMOND OPERATOR,uni22C4,,Mathematical Operators,,T,,
U+22C5,DOT OPERATOR,uni22C5,,Mathematical Operators,,A,,
U+22C6,STAR OPERATOR,uni22C6,,Mathematical Operators,,T,,
U+22C7,DIVISION TIMES,uni22C7,,Mathematical Operators,,T,,
U+22C8,BOWTIE,uni22C8,,Mathematical Operators,,T,,
U+22C9,LEFT NORMAL FACTOR SEMIDIRECT PRODUCT,uni22C9,,Mathematical Operators,,T,,
U+22CA,RIGHT NORMAL FACTOR SEMIDIRECT PRODUCT,uni22CA,,Mathematical Operators,,T,,
U+22CB,LEFT SEMIDIRECT PRODUCT,uni22CB,,Mathematical Operators,,T,,
U+22CC,RIGHT SEMIDIRECT PRODUCT,uni22CC,,Mathematical Operators,,T,,
U+22CD,REVERSED TILDE EQUALS,uni22CD,,Mathematical Operators,,A,,
U+22CE,CURLY LOGICAL OR,uni22CE,,Mathematical Operators,,A,,
U+22CF,CURLY LOGICAL AND,uni22CF,,Mathematical Operators,,A,,
U+22D0,DOUBLE SUBSET,uni22D0,,Mathematical Operators,,T,,
U+22D1,DOUBLE SUPERSET,uni22D1,,Mathematical Operators,,T,,
U+22D2,DOUBLE INTERSECTION,uni22D2,,Mathematical Operators,,T,,
U+22D3,DOUBLE UNION,uni22D3,,Mathematical Operators,,T,,
U+22D4,PITCHFORK,uni22D4,,Mathematical Operators,,T,,
U+22D5,EQUAL AND PARALLEL TO,uni22D5,,Mathematical Operators,,T,,
U+22D6,LESS-THAN WITH DOT,uni22D6,,Mathematical Operators,,A,,
U+22D7,GREATER-THAN WITH DOT,uni22D7,,Mathematical Operators,,A,,
U+22D8,VERY MUCH LESS-THAN,uni22D8,,Mathematical Operators,,A,,
U+22D9,VERY MUCH GREATER-THAN,uni22D9,,Mathematical Operators,,A,,
U+22DA,LESS-THAN EQUAL TO OR GREATER-THAN,uni22DA,,Mathematical Operators,,A,,
U+22DB,GREATER-THAN EQUAL TO OR LESS-THAN,uni22DB,,Mathematical Operators,,A,,
U+22DC,EQUAL TO OR LESS-THAN,uni22DC,,Mathematical Operators,,A,,
U+22DD,EQUAL TO OR GREATER-THAN,uni22DD,,Mathematical Operators,,A,,
U+22DE,EQUAL TO OR PRECEDES,uni22DE,,Mathematical Operators,,A,,
U+22DF,EQUAL TO OR SUCCEEDS,uni22DF,,Mathematical Operators,,A,,
U+22E0,DOES NOT PRECEDE OR EQUAL,uni22E0,,Mathematical Operators,,A,,
U+22E1,DOES NOT SUCCEED OR EQUAL,uni22E1,,Mathematical Operators,,A,,
U+22E2,NOT SQUARE IMAGE OF OR EQUAL TO,uni22E2,,Mathematical Operators,,A,,
U+22E3,NOT SQUARE ORIGINAL OF OR EQUAL TO,uni22E3,,Mathematical Operators,,A,,
U+22E4,SQUARE IMAGE OF OR NOT EQUAL TO,uni22E4,,Mathematical Operators,,A,,
U+22E5,SQUARE ORIGINAL OF OR NOT EQUAL TO,uni22E5,,Mathematical Operators,,A,,
U+22E6,LESS-THAN BUT NOT EQUIVALENT TO,uni22E6,,Mathematical Operators,,A,,
U+22E7,GREATER-THAN BUT NOT EQUIVALENT TO,uni22E7,,Mathematical Operators,,A,,
U+22E8,PRECEDES BUT NOT EQUIVALENT TO,uni22E8,,Mathematical Operators,,A,,
U+22E9,SUCCEEDS BUT NOT EQUIVALENT TO,uni22E9,,Mathematical Operators,,A,,
U+22EA,NOT NORMAL SUBGROUP OF,uni22EA,,Mathematical Operators,,T,,
U+22EB,DOES NOT CONTAIN AS NORMAL SUBGROUP,uni22EB,,Mathematical Operators,,T,,
U+22EC,NOT NORMAL SUBGROUP OF OR EQUAL TO,uni22EC,,Mathematical Operators,,T,,
U+22ED,DOES NOT CONTAIN AS NORMAL SUBGROUP OR EQUAL,uni22ED,,Mathematical Operators,,T,,
U+22EE,VERTICAL ELLIPSIS,uni22EE,,Mathematical Operators,,T,,
U+22EF,MIDLINE HORIZONTAL ELLIPSIS,uni22EF,,Mathematical Operators,,A,,
U+22F0,UP RIGHT DIAGONAL ELLIPSIS,uni22F0,,Mathematical Operators,,T,,
U+22F1,DOWN RIGHT DIAGONAL ELLIPSIS,uni22F1,,Mathematical Operators,,T,,
U+22F2,ELEMENT OF WITH LONG HORIZONTAL STROKE,uni22F2,,Mathematical Operators,,T,,
U+22F3,ELEMENT OF WITH VERTICAL BAR AT END OF HORIZONTAL STROKE,uni22F3,,Mathematical Operators,,T,,
U+22F4,SMALL ELEMENT OF WITH VERTICAL BAR AT END OF HORIZONTAL STROKE,uni22F4,,Mathematical Operators,,T,,
U+22F5,ELEMENT OF WITH DOT ABOVE,uni22F5,,Mathematical Operators,,T,,
U+22F6,ELEMENT OF WITH OVERBAR,uni22F6,,Mathematical Operators,,T,,
U+22F7,SMALL ELEMENT OF WITH OVERBAR,uni22F7,,Mathematical Operators,,T,,
U+22F8,ELEMENT OF WITH UNDERBAR,uni22F8,,Mathematical Operators,,T,,
U+22F9,ELEMENT OF WITH TWO HORIZONTAL STROKES,uni22F9,,Mathematical Operators,,T,,
U+22FA,CONTAINS WITH LONG HORIZONTAL STROKE,uni22FA,,Mathematical Operators,,T,,
U+22FB,CONTAINS WITH VERTICAL BAR AT END OF HORIZONTAL STROKE,uni22FB,,Mathematical Operators,,T,,
U+22FC,SMALL CONTAINS WITH VERTICAL BAR AT END OF HORIZONTAL STROKE,uni22FC,,Mathematical Operators,,T,,
U+22FD,CONTAINS WITH OVERBAR,uni22FD,,Mathematical Operators,,T,,
U+22FE,SMALL CONTAINS WITH OVERBAR,uni22FE,,Mathematical Operators,,T,,
U+22FF,Z NOTATION BAG MEMBERSHIP,uni22FF,,Mathematical Operators,,T,,
U+2302,HOUSE,uni2302,,Miscellaneous Technical,,A,,
U+2308,LEFT CEILING,uni2308,,Miscellaneous Technical,,A,,
U+2309,RIGHT CEILING,uni2309,,Miscellaneous Technical,,A,,
U+230A,LEFT FLOOR,uni230A,,Miscellaneous Technical,,A,,
U+230B,RIGHT FLOOR,uni230B,,Miscellaneous Technical,,A,,
U+2310,REVERSED NOT SIGN,uni2310,,Miscellaneous Technical,,A,,
U+239B,LEFT PARENTHESIS UPPER HOOK,uni239B,,Miscellaneous Technical,,A,,
U+239C,LEFT PARENTHESIS EXTENSION,uni239C,,Miscellaneous Technical,,A,,
U+239D,LEFT PARENTHESIS LOWER HOOK,uni239D,,Miscellaneous Technical,,A,,
U+239E,RIGHT PARENTHESIS UPPER HOOK,uni239E,,Miscellaneous Technical,,A,,
U+239F,RIGHT PARENTHESIS EXTENSION,uni239F,,Miscellaneous Technical,,A,,
U+23A0,RIGHT PARENTHESIS LOWER HOOK,uni23A0,,Miscellaneous Technical,,A,,
U+23A1,LEFT SQUARE BRACKET UPPER CORNER,uni23A1,,Miscellaneous Technical,,A,,
U+23A2,LEFT SQUARE BRACKET EXTENSION,uni23A2,,Miscellaneous Technical,,A,,
U+23A3,LEFT SQUARE BRACKET LOWER CORNER,uni23A3,,Miscellaneous Technical,,A,,
U+23A4,RIGHT SQUARE BRACKET UPPER CORNER,uni23A4,,Miscellaneous Technical,,A,,
U+23A5,RIGHT SQUARE BRACKET EXTENSION,uni23A5,,Miscellaneous Technical,,A,,
U+23A6,RIGHT SQUARE BRACKET LOWER CORNER,uni23A6,,Miscellaneous Technical,,A,,
U+23A7,LEFT CURLY BRACKET UPPER HOOK,uni23A7,,Miscellaneous Technical,,A,,
U+23A8,LEFT CURLY BRACKET MIDDLE PIECE,uni23A8,,Miscellaneous Technical,,A,,
U+23A9,LEFT CURLY BRACKET LOWER HOOK,uni23A9,,Miscellaneous Technical,,A,,
U+23AA,CURLY BRACKET EXTENSION,uni23AA,,Miscellaneous Technical,,A,,
U+23AB,RIGHT CURLY BRACKET UPPER HOOK,uni23AB,,Miscellaneous Technical,,A,,
U+23AC,RIGHT CURLY BRACKET MIDDLE PIECE,uni23AC,,Miscellaneous Technical,,A,,
U+23AD,RIGHT CURLY BRACKET LOWER HOOK,uni23AD,,Miscellaneous Technical,,A,,
U+23B4,TOP SQUARE BRACKET,uni23B4,,Miscellaneous Technical,,A,,
U+23B5,BOTTOM SQUARE BRACKET,uni23B5,,Miscellaneous Technical,,A,,
U+23DC,TOP PARENTHESIS,uni23DC,,Miscellaneous Technical,,A,,
U+23DD,BOTTOM PARENTHESIS,uni23DD,,Miscellaneous Technical,,A,,
U+23DE,TOP CURLY BRACKET,uni23DE,,Miscellaneous Technical,,A,,
U+23DF,BOTTOM CURLY BRACKET,uni23DF,,Miscellaneous Technical,,A,,
U+2580,UPPER HALF BLOCK,uni2580,,Block Elements,,A/C,,
U+2581,LOWER ONE EIGHTH BLOCK,uni2581,,Block Elements,,A/C,,
U+2582,LOWER ONE QUARTER BLOCK,uni2582,,Block Elements,,A/C,,
U+2583,LOWER THREE EIGHTHS BLOCK,uni2583,,Block Elements,,A/C,,
U+2584,LOWER HALF BLOCK,uni2584,,Block Elements,,A/C,,
U+2585,LOWER FIVE EIGHTHS BLOCK,uni2585,,Block Elements,,A/C,,
U+2586,LOWER THREE QUARTERS BLOCK,uni2586,,Block Elements,,A/C,,
U+2587,LOWER SEVEN EIGHTHS BLOCK,uni2587,,Block Elements,,A/C,,
U+2588,FULL BLOCK,uni2588,,Block Elements,,A/C,,
U+2589,LEFT SEVEN EIGHTHS BLOCK,uni2589,,Block Elements,,A/C,,
U+258A,LEFT THREE QUARTERS BLOCK,uni258A,,Block Elements,,A/C,,
U+258B,LEFT FIVE EIGHTHS BLOCK,uni258B,,Block Elements,,A/C,,
U+258C,LEFT HALF BLOCK,uni258C,,Block Elements,,A/C,,
U+258D,LEFT THREE EIGHTHS BLOCK,uni258D,,Block Elements,,A/C,,
U+258E,LEFT ONE QUARTER BLOCK,uni258E,,Block Elements,,A/C,,
U+258F,LEFT ONE EIGHTH BLOCK,uni258F,,Block Elements,,A/C,,
U+2590,RIGHT HALF BLOCK,uni2590,,Block Elements,,A/C,,
U+2591,LIGHT SHADE,uni2591,,Block Elements,,C,,
U+2592,MEDIUM SHADE,uni2592,,Block Elements,,C,,
U+2593,DARK SHADE,uni2593,,Block Elements,,C,,
U+2594,UPPER ONE EIGHTH BLOCK,uni2594,,Block Elements,,A/C,,
U+2595,RIGHT ONE EIGHTH BLOCK,uni2595,,Block Elements,,A/C,,
U+2596,QUADRANT LOWER LEFT,uni2596,,Block Elements,,A/C,,
U+2597,QUADRANT LOWER RIGHT,uni2597,,Block Elements,,A/C,,
U+2598,QUADRANT UPPER LEFT,uni2598,,Block Elements,,A/C,,
U+2599,QUADRANT UPPER LEFT AND LOWER LEFT AND LOWER RIGHT,uni2599,,Block Elements,,A/C,,
U+259A,QUADRANT UPPER LEFT AND LOWER RIGHT,uni259A,,Block Elements,,A/C,,
U+259B,QUADRANT UPPER LEFT AND UPPER RIGHT AND LOWER LEFT,uni259B,,Block Elements,,A/C,,
U+259C,QUADRANT UPPER LEFT AND UPPER RIGHT AND LOWER RIGHT,uni259C,,Block Elements,,A/C,,
U+259D,QUADRANT UPPER RIGHT,uni259D,,Block Elements,,A/C,,
U+259E,QUADRANT UPPER RIGHT AND LOWER LEFT,uni259E,,Block Elements,,A/C,,
U+259F,QUADRANT UPPER RIGHT AND LOWER LEFT AND LOWER RIGHT,uni259F,,Block Elements,,A/C,,
U+25A0,BLACK SQUARE,uni25A0,,Geometric Shapes,,A/C,,
U+25A1,WHITE SQUARE,uni25A1,,Geometric Shapes,,A/C,,
U+25A2,WHITE SQUARE WITH ROUNDED CORNERS,uni25A2,,Geometric Shapes,,A/C,,
U+25A3,WHITE SQUARE CONTAINING BLACK SMALL SQUARE,uni25A3,,Geometric Shapes,,A/C,,
U+25AA,BLACK SMALL SQUARE,uni25AA,,Geometric Shapes,,A/C,,
U+25AB,WHITE SMALL SQUARE,uni25AB,,Geometric Shapes,,A/C,,
U+25AC,BLACK RECTANGLE,uni25AC,,Geometric Shapes,,A/C,,
U+25AD,WHITE RECTANGLE,uni25AD,,Geometric Shapes,,A/C,,
U+25AE,BLACK VERTICAL RECTANGLE,uni25AE,,Geometric Shapes,,A/C,,
U+25AF,WHITE VERTICAL RECTANGLE,uni25AF,,Geometric Shapes,,A/C,,
U+25B2,BLACK UP-POINTING TRIANGLE,uni25B2,,Geometric Shapes,,A/C,,
U+25B6,BLACK RIGHT-POINTING TRIANGLE,uni25B6,,Geometric Shapes,,A/C,,
U+25BA,BLACK RIGHT-POINTING POINTER,uni25BA,,Geometric Shapes,,A/C,,
U+25BC,BLACK DOWN-POINTING TRIANGLE,uni25BC,,Geometric Shapes,,A/C,,
U+25C0,BLACK LEFT-POINTING TRIANGLE,uni25C0,,Geometric Shapes,,A/C,,
U+25C4,BLACK LEFT-POINTING POINTER,uni25C4,,Geometric Shapes,,A/C,,
U+25C6,BLACK DIAMOND,uni25C6,,Geometric Shapes,,A/C,,
U+25C7,WHITE DIAMOND,uni25C7,,Geometric Shapes,,A/C,,
U+25C9,FISHEYE,uni25C9,,Geometric Shapes,,A/C,,
U+25CA,LOZENGE,uni25CA,AL3,Geometric Shapes,,A/C,,
U+25CB,WHITE CIRCLE,uni25CB,,Geometric Shapes,,A/C,,
U+25CE,BULLSEYE,uni25CE,,Geometric Shapes,,A/C,,
U+25CF,BLACK CIRCLE,uni25CF,,Geometric Shapes,,A/C,,
U+25D0,CIRCLE WITH LEFT HALF BLACK,uni25D0,,Geometric Shapes,,A/C,,
U+25D1,CIRCLE WITH RIGHT HALF BLACK,uni25D1,,Geometric Shapes,,A/C,,
U+25D2,CIRCLE WITH LOWER HALF BLACK,uni25D2,,Geometric Shapes,,A/C,,
U+25D3,CIRCLE WITH UPPER HALF BLACK,uni25D3,,Geometric Shapes,,A/C,,
U+25D5,CIRCLE WITH ALL BUT UPPER LEFT QUADRANT BLACK,uni25D5,,Geometric Shapes,,A/C,,
U+25D6,LEFT HALF BLACK CIRCLE,uni25D6,,Geometric Shapes,,A/C,,
U+25D7,RIGHT HALF BLACK CIRCLE,uni25D7,,Geometric Shapes,,A/C,,
U+25D9,INVERSE WHITE CIRCLE,uni25D9,,Geometric Shapes,,A/C,,
U+25DA,UPPER HALF INVERSE WHITE CIRCLE,uni25DA,,Geometric Shapes,,A/C,,
U+25DB,LOWER HALF INVERSE WHITE CIRCLE,uni25DB,,Geometric Shapes,,A/C,,
U+25DC,UPPER LEFT QUADRANT CIRCULAR ARC,uni25DC,,Geometric Shapes,,A/C,,
U+25DD,UPPER RIGHT QUADRANT CIRCULAR ARC,uni25DD,,Geometric Shapes,,A/C,,
U+25DE,LOWER RIGHT QUADRANT CIRCULAR ARC,uni25DE,,Geometric Shapes,,A/C,,
U+25DF,LOWER LEFT QUADRANT CIRCULAR ARC,uni25DF,,Geometric Shapes,,A/C,,
U+25E0,UPPER HALF CIRCLE,uni25E0,,Geometric Shapes,,A/C,,
U+25E1,LOWER HALF CIRCLE,uni25E1,,Geometric Shapes,,A/C,,
U+25E2,BLACK LOWER RIGHT TRIANGLE,uni25E2,,Geometric Shapes,,A/C,,
U+25E3,BLACK LOWER LEFT TRIANGLE,uni25E3,,Geometric Shapes,,A/C,,
U+25E4,BLACK UPPER LEFT TRIANGLE,uni25E4,,Geometric Shapes,,A/C,,
U+25E5,BLACK UPPER RIGHT TRIANGLE,uni25E5,,Geometric Shapes,,A/C,,
U+25E7,SQUARE WITH LEFT HALF BLACK,uni25E7,,Geometric Shapes,,A/C,,
U+25E8,SQUARE WITH RIGHT HALF BLACK,uni25E8,,Geometric Shapes,,A/C,,
U+25E9,SQUARE WITH UPPER LEFT DIAGONAL HALF BLACK,uni25E9,,Geometric Shapes,,A/C,,
U+25EA,SQUARE WITH LOWER RIGHT DIAGONAL HALF BLACK,uni25EA,,Geometric Shapes,,A/C,,
U+25EB,WHITE SQUARE WITH VERTICAL BISECTING LINE,uni25EB,,Geometric Shapes,,A/C,,
U+25EF,LARGE CIRCLE,uni25EF,,Geometric Shapes,,A/C,,
U+25F0,WHITE SQUARE WITH UPPER LEFT QUADRANT,uni25F0,,Geometric Shapes,,A/C,,
U+25F1,WHITE SQUARE WITH LOWER LEFT QUADRANT,uni25F1,,Geometric Shapes,,A/C,,
U+25F2,WHITE SQUARE WITH LOWER RIGHT QUADRANT,uni25F2,,Geometric Shapes,,A/C,,
U+25F3,WHITE SQUARE WITH UPPER RIGHT QUADRANT,uni25F3,,Geometric Shapes,,A/C,,
U+25F4,WHITE CIRCLE WITH UPPER LEFT QUADRANT,uni25F4,,Geometric Shapes,,A/C,,
U+25F5,WHITE CIRCLE WITH LOWER LEFT QUADRANT,uni25F5,,Geometric Shapes,,A/C,,
U+25F6,WHITE CIRCLE WITH LOWER RIGHT QUADRANT,uni25F6,,Geometric Shapes,,A/C,,
U+25F7,WHITE CIRCLE WITH UPPER RIGHT QUADRANT,uni25F7,,Geometric Shapes,,A/C,,
U+2620,SKULL AND CROSSBONES,uni2620,,Miscellaneous Symbols,,A/C,,
U+2639,WHITE FROWNING FACE,uni2639,,Miscellaneous Symbols,,A/C,,
U+263A,WHITE SMILING FACE,uni263A,,Miscellaneous Symbols,,A/C,,
U+263B,BLACK SMILING FACE,uni263B,,Miscellaneous Symbols,,A/C,,
U+263C,WHITE SUN WITH RAYS,uni263C,,Miscellaneous Symbols,,A/C,,
U+2640,FEMALE SIGN,uni2640,,Miscellaneous Symbols,,A/C,,
U+2642,MALE SIGN,uni2642,,Miscellaneous Symbols,,A/C,,
U+2660,BLACK SPADE SUIT,uni2660,,Miscellaneous Symbols,,A/C,,
U+2663,BLACK CLUB SUIT,uni2663,,Miscellaneous Symbols,,A/C,,
U+2665,BLACK HEART SUIT,uni2665,,Miscellaneous Symbols,,A/C,,
U+2666,BLACK DIAMOND SUIT,uni2666,,Miscellaneous Symbols,,A/C,,
U+266A,EIGHTH NOTE,uni266A,,Miscellaneous Symbols,,A/C,,
U+266B,BEAMED EIGHTH NOTES,uni266B,,Miscellaneous Symbols,,A/C,,
U+27C0,THREE DIMENSIONAL ANGLE,uni27C0,,Miscellaneous Mathematical Symbols-A,,T,,
U+27C1,WHITE TRIANGLE CONTAINING SMALL WHITE TRIANGLE,uni27C1,,Miscellaneous Mathematical Symbols-A,,T,,
U+27C2,PERPENDICULAR,uni27C2,,Miscellaneous Mathematical Symbols-A,,A,,
U+27C3,OPEN SUBSET,uni27C3,,Miscellaneous Mathematical Symbols-A,,T,,
U+27C4,OPEN SUPERSET,uni27C4,,Miscellaneous Mathematical Symbols-A,,T,,
U+27C5,LEFT S-SHAPED BAG DELIMITER,uni27C5,,Miscellaneous Mathematical Symbols-A,,T,,
U+27C6,RIGHT S-SHAPED BAG DELIMITER,uni27C6,,Miscellaneous Mathematical Symbols-A,,T,,
U+27C7,OR WITH DOT INSIDE,uni27C7,,Miscellaneous Mathematical Symbols-A,,T,,
U+27C8,REVERSE SOLIDUS PRECEDING SUBSET,uni27C8,,Miscellaneous Mathematical Symbols-A,,T,,
U+27C9,SUPERSET PRECEDING SOLIDUS,uni27C9,,Miscellaneous Mathematical Symbols-A,,T,,
U+27CA,VERTICAL BAR WITH HORIZONTAL STROKE,uni27CA,,Miscellaneous Mathematical Symbols-A,,T,,
U+27CB,MATHEMATICAL RISING DIAGONAL,uni27CB,,Miscellaneous Mathematical Symbols-A,,T,,
U+27CC,LONG DIVISION,uni27CC,,Miscellaneous Mathematical Symbols-A,,T,,
U+27CD,MATHEMATICAL FALLING DIAGONAL,uni27CD,,Miscellaneous Mathematical Symbols-A,,T,,
U+27CE,SQUARED LOGICAL AND,uni27CE,,Miscellaneous Mathematical Symbols-A,,T,,
U+27CF,SQUARED LOGICAL OR,uni27CF,,Miscellaneous Mathematical Symbols-A,,T,,
U+27D0,WHITE DIAMOND WITH CENTRED DOT,uni27D0,,Miscellaneous Mathematical Symbols-A,,T,,
U+27D1,AND WITH DOT,uni27D1,,Miscellaneous Mathematical Symbols-A,,T,,
U+27D2,ELEMENT OF OPENING UPWARDS,uni27D2,,Miscellaneous Mathematical Symbols-A,,T,,
U+27D3,LOWER RIGHT CORNER WITH DOT,uni27D3,,Miscellaneous Mathematical Symbols-A,,T,,
U+27D4,UPPER LEFT CORNER WITH DOT,uni27D4,,Miscellaneous Mathematical Symbols-A,,T,,
U+27D5,LEFT OUTER JOIN,uni27D5,,Miscellaneous Mathematical Symbols-A,,T,,
U+27D6,RIGHT OUTER JOIN,uni27D6,,Miscellaneous Mathematical Symbols-A,,T,,
U+27D7,FULL OUTER JOIN,uni27D7,,Miscellaneous Mathematical Symbols-A,,T,,
U+27D8,LARGE UP TACK,uni27D8,,Miscellaneous Mathematical Symbols-A,,T,,
U+27D9,LARGE DOWN TACK,uni27D9,,Miscellaneous Mathematical Symbols-A,,T,,
U+27DA,LEFT AND RIGHT DOUBLE TURNSTILE,uni27DA,,Miscellaneous Mathematical Symbols-A,,T,,
U+27DB,LEFT AND RIGHT TACK,uni27DB,,Miscellaneous Mathematical Symbols-A,,T,,
U+27DC,LEFT MULTIMAP,uni27DC,,Miscellaneous Mathematical Symbols-A,,T,,
U+27DD,LONG RIGHT TACK,uni27DD,,Miscellaneous Mathematical Symbols-A,,T,,
U+27DE,LONG LEFT TACK,uni27DE,,Miscellaneous Mathematical Symbols-A,,T,,
U+27DF,UP TACK WITH CIRCLE ABOVE,uni27DF,,Miscellaneous Mathematical Symbols-A,,T,,
U+27E0,LOZENGE DIVIDED BY HORIZONTAL RULE,uni27E0,,Miscellaneous Mathematical Symbols-A,,T,,
U+27E1,WHITE CONCAVE-SIDED DIAMOND,uni27E1,,Miscellaneous Mathematical Symbols-A,,T,,
U+27E2,WHITE CONCAVE-SIDED DIAMOND WITH LEFTWARDS TICK,uni27E2,,Miscellaneous Mathematical Symbols-A,,T,,
U+27E3,WHITE CONCAVE-SIDED DIAMOND WITH RIGHTWARDS TICK,uni27E3,,Miscellaneous Mathematical Symbols-A,,T,,
U+27E4,WHITE SQUARE WITH LEFTWARDS TICK,uni27E4,,Miscellaneous Mathematical Symbols-A,,T,,
U+27E5,WHITE SQUARE WITH RIGHTWARDS TICK,uni27E5,,Miscellaneous Mathematical Symbols-A,,T,,
U+27E6,MATHEMATICAL LEFT WHITE SQUARE BRACKET,uni27E6,,Miscellaneous Mathematical Symbols-A,,T,,
U+27E7,MATHEMATICAL RIGHT WHITE SQUARE BRACKET,uni27E7,,Miscellaneous Mathematical Symbols-A,,T,,
U+27E8,MATHEMATICAL LEFT ANGLE BRACKET,uni27E8,,Miscellaneous Mathematical Symbols-A,,A,,
U+27E9,MATHEMATICAL RIGHT ANGLE BRACKET,uni27E9,,Miscellaneous Mathematical Symbols-A,,A,,
U+27EA,MATHEMATICAL LEFT DOUBLE ANGLE BRACKET,uni27EA,,Miscellaneous Mathematical Symbols-A,,A,,
U+27EB,MATHEMATICAL RIGHT DOUBLE ANGLE BRACKET,uni27EB,,Miscellaneous Mathematical Symbols-A,,A,,
U+27EC,MATHEMATICAL LEFT WHITE TORTOISE SHELL BRACKET,uni27EC,,Miscellaneous Mathematical Symbols-A,,T,,
U+27ED,MATHEMATICAL RIGHT WHITE TORTOISE SHELL BRACKET,uni27ED,,Miscellaneous Mathematical Symbols-A,,T,,
U+27EE,MATHEMATICAL LEFT FLATTENED PARENTHESIS,uni27EE,,Miscellaneous Mathematical Symbols-A,,A,,
U+27EF,MATHEMATICAL RIGHT FLATTENED PARENTHESIS,uni27EF,,Miscellaneous Mathematical Symbols-A,,A,,
U+27F0,UPWARDS QUADRUPLE ARROW,uni27F0,,Supplemental Arrows-A,,T,,
U+27F1,DOWNWARDS QUADRUPLE ARROW,uni27F1,,Supplemental Arrows-A,,T,,
U+27F2,ANTICLOCKWISE GAPPED CIRCLE ARROW,uni27F2,,Supplemental Arrows-A,,T,,
U+27F3,CLOCKWISE GAPPED CIRCLE ARROW,uni27F3,,Supplemental Arrows-A,,T,,
U+27F4,RIGHT ARROW WITH CIRCLED PLUS,uni27F4,,Supplemental Arrows-A,,T,,
U+27F5,LONG LEFTWARDS ARROW,uni27F5,,Supplemental Arrows-A,,A,,
U+27F6,LONG RIGHTWARDS ARROW,uni27F6,,Supplemental Arrows-A,,A,,
U+27F7,LONG LEFT RIGHT ARROW,uni27F7,,Supplemental Arrows-A,,A,,
U+27F8,LONG LEFTWARDS DOUBLE ARROW,uni27F8,,Supplemental Arrows-A,,A,,
U+27F9,LONG RIGHTWARDS DOUBLE ARROW,uni27F9,,Supplemental Arrows-A,,A,,
U+27FA,LONG LEFT RIGHT DOUBLE ARROW,uni27FA,,Supplemental Arrows-A,,A,,
U+27FB,LONG LEFTWARDS ARROW FROM BAR,uni27FB,,Supplemental Arrows-A,,A,,
U+27FC,LONG RIGHTWARDS ARROW FROM BAR,uni27FC,,Supplemental Arrows-A,,A,,
U+27FD,LONG LEFTWARDS DOUBLE ARROW FROM BAR,uni27FD,,Supplemental Arrows-A,,A,,
